Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Abeillia abeillei,12.8,NA,1,1.7,7.1,47
Abroscopus albogularis,8.9,NA,2.8,2.3,15.4,44
Abroscopus schisticeps,8.85,4.7,2.6,2.35,16.55,47.25
Abroscopus superciliaris,12.3,NA,3.1,2.7,16.6,51
Aburria aburri,36.45,NA,NA,NA,65.6,NA
Acanthagenys rufogularis,25.4,NA,3.7,5,NA,112
Acanthidops bairdi,NA,NA,3.9,5.25,20.75,67.5
Acanthis flammea,NA,NA,NA,NA,NA,75
Acanthisitta chloris,12.25,NA,2.5,2.35,18.05,45.5
Acanthiza apicalis,NA,NA,2.15,2.6,NA,52
Acanthiza chrysorrhoa,11.7,NA,2.2,2.4,NA,58
Acanthiza cinerea,10.85,NA,2.6,2.75,NA,52
Acanthiza ewingii,NA,NA,1.95,2.5,NA,52
Acanthiza inornata,11.3,NA,2.3,2.6,NA,47
Acanthiza iredalei,9.3,NA,1.9,2.3,NA,48
Acanthiza katherina,11.8,NA,2.4,2.7,NA,53.5
Acanthiza lineata,9.7,NA,2.1,2.7,NA,51.5
Acanthiza murina,11.35,NA,2.45,2.85,NA,57.5
Acanthiza nana,10,NA,2.1,2.7,NA,49
Acanthiza pusilla,11.2,NA,2.1,2.6,NA,51
Acanthiza reguloides,11.1,NA,2.2,2.5,NA,52
Acanthiza robustirostris,9.8,NA,2.3,2.7,NA,52
Acanthiza uropygialis,10.05,NA,2,2.4,NA,52
Acanthoptila nipalensis,23.6,NA,4.5,6.2,30.1,82
Acanthorhynchus superciliosus,24,NA,2.2,2.9,NA,61
Acanthorhynchus tenuirostris,26.7,NA,2.3,2.8,NA,64.5
Acanthornis magna,15.15,NA,2.2,2.85,NA,56
Accipiter albogularis,28.6,NA,11,15,62.8,240
Accipiter badius,20.7,NA,8.85,11.1,40.95,184.5
Accipiter bicolor,25.6,NA,NA,12.8,58.1,240
Accipiter brachyurus,22.55,13.95,8.95,11.95,61.05,NA
Accipiter brevipes,NA,NA,NA,NA,NA,215
Accipiter butleri,20,11.9,6.6,12,48.7,166
Accipiter castanilius,NA,NA,NA,NA,NA,164
Accipiter cirrocephalus,18.4,NA,7.8,9.2,59.7,205
Accipiter collaris,19.9,NA,8.6,11,42.7,170
Accipiter cooperii,25.8,NA,8.3,12.7,61.5,NA
Accipiter erythrauchen,21.25,12.2,8.95,11.45,60.8,200
Accipiter erythropus,18.4,NA,7.2,9.2,43,158
Accipiter fasciatus,30.3,NA,11.2,NA,69.5,264
Accipiter francesiae,20.4,NA,8.6,10.6,48.2,157
Accipiter gentilis,33.3,NA,NA,NA,65.7,328
Accipiter griseiceps,24.95,15,8.85,NA,51.75,189.5
Accipiter gularis,24.5,NA,6.7,8.9,42.6,164
Accipiter gundlachi,26,15.2,8.3,16.3,71.3,228
Accipiter haplochrous,25,14.7,9.6,13.45,59,234
Accipiter henicogrammus,27.6,NA,9.9,14,65,221
Accipiter henstii,33.6,19.2,12,17,73.25,293
Accipiter hiogaster,26.05,15.95,9.25,13.9,51.15,196.5
Accipiter imitator,26.4,16.8,9.1,12.2,49.6,200
Accipiter luteoschistaceus,NA,NA,7.8,11.9,51.5,188
Accipiter madagascariensis,19.8,10.5,7.45,9.4,57.45,193
Accipiter melanochlamys,28,NA,10.6,13.9,62.2,221
Accipiter melanoleucus,30.4,NA,9.6,16.9,76.1,291
Accipiter meyerianus,35,20.65,12.65,18.65,75.4,309.5
Accipiter minullus,16.8,9.4,6.7,8.5,42.4,154
Accipiter nanus,17.55,10.55,7.55,10.05,NA,152.4
Accipiter nisus,NA,NA,NA,NA,NA,200
Accipiter novaehollandiae,30.1,NA,11.45,16.4,68.5,246
Accipiter ovampensis,20,NA,7.5,10.3,48.8,214
Accipiter poliocephalus,25.3,15.55,10,14.1,61.45,208.5
Accipiter poliogaster,28.7,NA,7.3,NA,50,224
Accipiter princeps,33.6,22.25,13.85,17.8,68.05,266.3
Accipiter rhodogaster,19.7,NA,7.4,NA,51.6,167
Accipiter rufitorques,25.7,NA,10.4,14.3,60.2,226
Accipiter rufiventris,21.1,NA,7.8,9.8,53.2,224
Accipiter soloensis,25.6,NA,8.7,9.4,38.6,189
Accipiter striatus,17.95,NA,NA,NA,49.9,177
Accipiter superciliosus,20.1,NA,6.8,10.8,36.4,151
Accipiter sylvestris,25.95,14.95,9.15,13.1,54.45,206.35
Accipiter tachiro,17.7,15.7,9.5,11.9,64,221
Accipiter toussenelii,NA,NA,NA,NA,NA,188
Accipiter trinotatus,NA,NA,NA,NA,NA,NA
Accipiter trivirgatus,29.5,NA,10.2,NA,57.9,212
Accipiter virgatus,22.2,NA,7.4,9.6,49.3,NA
Aceros nipalensis,196,171,45.9,73.9,73.9,422
Achaetops pycnopygius,20.2,NA,3.4,4.5,24.5,67
Acridotheres albocinctus,27.5,NA,5.7,7.2,36.4,124
Acridotheres burmannicus,23.35,14.2,4.8,6,30.85,114.5
Acridotheres cinereus,27.25,16.25,6.35,7.5,35.9,127.25
Acridotheres cristatellus,27.7,NA,6.2,7.9,38.2,134
Acridotheres fuscus,27,NA,6.7,7.3,36.7,125
Acridotheres ginginianus,25,NA,5.4,6.7,34.7,121.5
Acridotheres grandis,26.2,16.75,6.6,7.9,36.85,135
Acridotheres javanicus,25.55,14.7,6,7,35.5,122.5
Acridotheres leucocephalus,NA,NA,NA,NA,NA,NA
Acridotheres melanopterus,25,NA,5.6,6.2,35.7,125
Acridotheres tertius,NA,NA,NA,NA,NA,NA
Acridotheres tricolor,NA,NA,NA,NA,NA,NA
Acridotheres tristis,26.55,NA,6.45,8.1,38.85,139
Acritillas indica,19.8,NA,4.8,4.8,18.2,88
Acrobatornis fonsecai,NA,7.25,2.95,NA,17.05,64
Acrocephalus aequinoctialis,20.9,11,3.4,3.5,24.5,73.5
Acrocephalus agricola,13.7,NA,3.2,2.8,21,55.5
Acrocephalus arundinaceus,NA,NA,NA,NA,NA,96
Acrocephalus atyphus,26.7,NA,4.8,5,28.5,89
Acrocephalus australis,20.2,NA,3.8,4.1,NA,71
Acrocephalus bistrigiceps,13.5,NA,3.1,2.6,20.4,52.5
Acrocephalus brevipennis,19.4,12.05,4,3.5,26.45,66
Acrocephalus caffer,33.1,18.9,5,5.2,31.1,94
Acrocephalus concinens,13.9,NA,3.2,2.9,21.6,56
Acrocephalus dumetorum,NA,NA,NA,NA,NA,62.25
Acrocephalus familiaris,17.1,9.55,3.4,3.5,21.35,60.5
Acrocephalus gracilirostris,18.2,NA,3.6,3.5,23.6,65.5
Acrocephalus griseldis,21.2,NA,4.1,3.8,24.8,81
Acrocephalus hiwae,35.65,20.9,5.1,4.9,30.3,89
Acrocephalus kerearako,21.3,11.7,4.4,4.2,27.2,73
Acrocephalus longirostris,NA,NA,NA,NA,NA,NA
Acrocephalus luscinius,35.2,23.8,4.5,4.8,29.7,79.1
Acrocephalus melanopogon,NA,NA,NA,NA,NA,57
Acrocephalus mendanae,30.5,NA,5.1,5.1,29.5,98
Acrocephalus newtoni,18.3,NA,3.7,3.5,25.5,65.5
Acrocephalus orientalis,21.6,NA,NA,4.8,25.8,79
Acrocephalus orinus,17,9.7,3.85,NA,21.9,57.5
Acrocephalus paludicola,NA,NA,NA,NA,NA,62.5
Acrocephalus palustris,NA,NA,NA,NA,NA,69
Acrocephalus percernis,29.8,17.9,5,5.2,30.15,100.5
Acrocephalus rehsei,21.2,12,4.2,3.8,27.9,71.5
Acrocephalus rimitarae,24.6,13.6,4.2,4.1,29.4,84.5
Acrocephalus rodericanus,NA,NA,3.25,2.9,23.2,60.25
Acrocephalus rufescens,20.6,11.9,4.5,4,27.6,73
Acrocephalus schoenobaenus,NA,NA,NA,NA,NA,65.5
Acrocephalus scirpaceus,NA,NA,NA,NA,NA,66
Acrocephalus sechellensis,17.3,NA,4,3.3,24.3,64.5
Acrocephalus sorghophilus,NA,NA,3.4,3.8,23.6,71
Acrocephalus stentoreus,24.4,NA,4.5,4.7,27.1,79
Acrocephalus syrinx,24.8,NA,4.4,4.2,26.5,77
Acrocephalus taiti,20.5,12.1,4.1,4.05,29.5,82
Acrocephalus tangorum,14.55,8.45,3.6,2.8,21.15,53.5
Acrocephalus vaughani,19.8,NA,4.2,3.8,28,77
Acropternis orthonyx,NA,NA,4.4,NA,36.1,93
Acryllium vulturinum,41.5,NA,NA,NA,94,301
Actenoides bougainvillei,53.5,38.75,14.15,16.15,19.7,129
Actenoides capucinus,56,NA,NA,NA,NA,150
Actenoides concretus,49.35,37.65,12.6,13.45,14.45,110
Actenoides excelsus,49.7,38,14.6,17.5,19.2,126.5
Actenoides hombroni,46.9,NA,13.7,14.5,18.5,124
Actenoides lindsayi,46,NA,12.6,13.1,18.5,105
Actenoides monachus,52,NA,NA,NA,NA,141
Actenoides princeps,45,NA,NA,NA,NA,113
Actenoides regalis,NA,NA,NA,NA,NA,115
Actinodura egertoni,16.9,NA,4.3,5.1,28,85
Actinodura radcliffei,20.6,10.3,4.6,6.3,28.2,87
Actinodura ramsayi,20.3,NA,4.6,6.1,28.7,88.5
Actinodura sodangorum,18.2,10.3,4.7,5.6,31,85.5
Actitis hypoleucos,30.7,NA,NA,NA,NA,109
Actitis macularius,25.8,NA,2.7,3.2,24,100
Actophilornis africanus,36.2,NA,4.6,6.1,66.6,157
Actophilornis albinucha,33.7,NA,4.5,6.2,66,171
Adelomyia melanogenys,NA,NA,NA,NA,NA,NA
Aechmophorus clarkii,75.1,NA,7.6,11.5,77.6,190
Aechmophorus occidentalis,71.7,52,6.2,10.15,70.85,184
Aegithalos annamensis,NA,NA,NA,NA,NA,NA
Aegithalos bonvaloti,7.55,4.9,2.5,2.6,16.35,54.5
Aegithalos caudatus,NA,NA,NA,NA,NA,63
Aegithalos concinnus,7.4,NA,2.45,2.95,15.25,48.5
Aegithalos fuliginosus,7.65,4.4,2.15,3,15.65,55.25
Aegithalos glaucogularis,7.5,4.9,2.65,3.2,15.9,53.75
